Name,Compound ID,InChIKey,SMILES,logS,logP,MW
,C7466,YLJREFDVOIBQDA-UHFFFAOYSA-N,N#CCNc1ccccc1OC,-1.759934353,1.70368,162.189
,C9483,YLQBMQCUIZJEEH-UHFFFAOYSA-N,C=CC[N+](CCOCC[N+](CC=C)(C)C)(C)C.[Br-].[Br-],0.395541737,-4.4642,402.209
,C5626,YLQRXLUMXFSAAG-UHFFFAOYSA-N,Nc1c2CCCCc2nc2c1cccc2,-2.961796915,3.277,198.264
,C1419,YLQWCDOCJODRMT-UHFFFAOYSA-N,c1ccco1,-0.81999999,1.2796,68.074
,C8126,YLRCAHBRRAUPEB-BTJKTKAUSA-N,CCCCC(COC(=O)N)CO,-1.246654256,1.5807,175.225
,C4334,YLRFCQOZQXIBAB-RBZZARIASA-N,O=C1c2ccccc2c2c1cccc2,-3.852477078,2.898,180.202
,C2762,YLRXBQGINRDTNY-UHFFFAOYSA-N,OC(=O)/C=C\C(=O)O.CCNCC1COC2(O1)c1ccccc1C=Cc1c2cccc1,-5.417302507,3.4991,423.458
,C4542,YLSRNLBJYQACQD-UHFFFAOYSA-N,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@]2(F)[C@@H](O)C[C@]2([C@H]1CC[C@]2(C)O)C)C,-3.697934693,3.3322,336.441
,C5395,YLUWIWDPTZHXQS-UHFFFAOYSA-N,Nc1ccc2c(c1)nc1c(c2)cccc1N,-3.10582577,3.7148,209.247
,C2966,YLXIPWWIOISBDD-NDAAPVSOSA-N,CCCCCCc1ccc2c(c1)ccc(c2)O,-5.146384901,4.6682,228.329
,C3914,YLYGPLGSAOZVSS-UHFFFAOYSA-N,OC(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)[N+](=O)[O-])C,-4.166165972,4.1143,312.277
,C9113,YMBCJWGVCUEGHA-UHFFFAOYSA-M,O[C@H]([C@H](C(=O)O)O)C(=O)O.CNC[C@@H](c1ccc(c(c1)O)O)O,4.82E-05,-1.3811,333.291
,C4851,YMCXHQCNURJAPH-UHFFFAOYSA-N,C=CCNC(=O)OCC(C(CC)C)(COC(=O)N)C,-3.502645642,3.1375,272.341
,C9832,YMDNODNLFSHHCV-UHFFFAOYSA-N,CC[N+](CC)(CC)CC.[Cl-],0.780664387,-1.1132,165.704
,C2389,YMDXZJFXQJVXBF-STHAYSLISA-N,Clc1ccccc1C[NH2+]CCCCCC[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-6.044034667,-2.6112,438.262
,C8685,YMGUVTBVYOGUFZ-UHFFFAOYSA-N,ClCCN(CC)CC,-0.691462658,1.567,135.635
,C9851,YMKDRGPMQRFJGP-UHFFFAOYSA-M,C[C@@H]1O[C@@H]1P(=O)(O)O,0.80682944,-0.0911,138.059
,C7122,YMRMDGSNYHCUCL-UHFFFAOYSA-N,COc1ccc(cc1)Cc1cnc(nc1N)N,-2.024779986,2.4028,230.266
,C6322,YMSBFNUBFGRJNW-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],-2.522017802,3.4594,339.986
,C5845,YMSBKLBNDJAACW-UHFFFAOYSA-N,FC(C(Cl)(F)F)Cl,-2.818990504,2.3524,152.931
,C2282,YMTINGFKWWXKFG-UHFFFAOYSA-N,C=CC[NH+]1CCc2c(C1CCc1ccc(cc1)Cl)cc(c(c2)OC)OC.[Cl-],-6.262741533,2.2313,408.361
,C1904,YMTRVMXXEIEMLP-PLNGDYQASA-N,FC(c1ccc2c(c1)N(CCCNCCN1CCOCC1)c1c(S2)cccc1)(F)F.Cl,-7.866203051,5.8158,473.982
,C2441,YMUQBPRSTIPGNF-IYPIUBNXSA-N,CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C,-5.9358196,4.68,360.831
,C8653,YMUSDEONEHBNSI-UHFFFAOYSA-N,N=C1SCCN1C,-0.730685097,0.6374,116.185
,C5461,YMVWGSQGCWCDGW-UHFFFAOYSA-N,CN1CC[C@@]2([C@@H]([C@@H]1Cc1c2cccc1)C)C.Br,-3.06342134,3.7366,296.246
,C2746,YMWUJEATGCHHMB-UHFFFAOYSA-N,N/C(=[NH+]/CCC1CCCCCC1)/CSSC/C(=[NH+]/CCC1CCCCCC1)/N.[Cl-].[Cl-],-5.445805907,-2.627,499.648
,C4362,YMXKFPLDZGQMDA-UHFFFAOYSA-N,CN(CCCNc1c2ccccc2nc2c1c(ccc2)[N+](=O)[O-])C,-3.836657612,4.256,324.377
,C1462,YMZJBJPWTXJQMR-LJUKVTEVSA-L,ClCCl,-0.63,1.4215,84.9326
,C3974,YNAKDCXETKZUAM-UHFFFAOYSA-N,OCC(C(=O)N1CC2CCC(C1)N2C)(c1ccccc1)C1CCCCC1,-4.122319448,2.6778,356.502
,C9791,YNARWAUTTJJADX-UHFFFAOYSA-N,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Ca+2],0.736912245,0.7853,176.121
,C2309,YNAVUWVOSKDBBP-UHFFFAOYSA-N,CCCCCCCCCSCCCCCCN1CCSC1.Cl,-6.193029049,6.7768,368.084
,C303,YNBADRVTZLEFNH-UHFFFAOYSA-N,CCn1c2ncccc2n(c(=S)c2c1nccc2)C,-4.6300001,3.2346,270.353
,C1648,YNCCSLHZEPXXGW-UHFFFAOYSA-L,C1CNCCO1,1.0599999,-0.065,87.1204
,C1490,YNDXUCZADRHECN-JNQJZLCISA-N,COC(=O)c1cccnc1,-0.46000001,0.8682,137.136
,C3590,YNDXUCZADRHECN-KYKSJQFTSA-N,CC[N+]1(CCOCC[N+]2(CC)CCCC2)CCCC1.[Br-].[Br-],-4.45476312,-3.8104,430.262
,C3726,YNIVVSNZEPMJMD-UHFFFAOYSA-N,OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1CCC1=CC(=O)C=C[C@]21C)F)(C)C,-4.315774484,2.4188,434.498
,C372,YNJBWRMUSHSURL-UHFFFAOYSA-N,OCC(=O)[C@]12OC(O[C@H]1C[C@@H]1[C@]2(C)C[C@@H](O)[C@]2([C@H]1CCC1=CC(=O)C=C[C@]21C)F)(C)C,-4.3200002,2.4188,434.498
,C2266,YNPFMWCWRVTGKJ-UHFFFAOYSA-N,c1ccc(cc1)CNCC1CCC(CC1)CSCc1ccccc1.Cl.Cl,-6.310027309,7.5109,412.459
,C8819,YNPNZTXNASCQKK-UHFFFAOYSA-N,OC(=O)C(Cl)(Cl)Cl,-0.476000959,1.4412,163.387
,C3942,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CN1CCN2C(C1)c1ccccc1Cc1c2cccc1.Cl,-4.145882669,3.8888,300.826
,C203,YNTJKQDWYXUTLZ-ZCFIWIBFSA-N,c1ccc2c(c1)c1ccccc1cc2,-5.2600002,3.993,178.229
,C785,YNVGQYHLRCDXFQ-XGXHKTLJSA-N,CCc1ccccc1,-2.77,2.249,106.165
,C995,YNVOMSDITJMNET-UHFFFAOYSA-N,OC(=O)[C@H](Oc1cccc(c1)Cl)C,-2.22,2.1919,200.619
,C2654,YNXOHEFIGBHBPG-UHFFFAOYSA-N,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CCCC[C@H]12,-5.568747127,4.3135,284.436
,C1250,YNZFUWZUGRBMHL-UHFFFAOYSA-N,OC(=O)c1cscc1,-1.47,1.4463,128.149
,C2943,YNZXWQJZEDLQEG-UHFFFAOYSA-N,Brc1ccc(nc1)SCCCCCCCN1CCSC1.Cl.Cl,-5.171564712,6.4349,448.312
,C4751,YOAUVDYBDJTJJP-REOHCLBHSA-N,OCCN1CCN(CC1)CCCN1c2ccccc2C=Cc2c1cccc2,-3.574007374,3.2493,363.496
,C542,YOCBPCQZXRQJFU-UHFFFAOYSA-N,COc1c(OC)c(OC)cc2c1nc(nc2N)N1CCN(CC1)C(=O)OCC(O)(C)C,-3.6400001,1.8514,435.474
,C8871,YOEWQQVKRJEPAE-UHFFFAOYSA-L,NC(=O)SC[C@@H](C(=O)O)N,-0.416666961,0.6108,164.183
,C3173,YOFROOKXIBMQTF-UHFFFAOYSA-N,COc1cc(OC)c(cc1C(=O)CCC(=O)O)C1CCCCC1,-4.897146155,3.799,320.38
,C9201,YOHMQBXKTUQPDM-UHFFFAOYSA-N,O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],0.141097247,-5.7266,361.305
,C4732,YOLHKYWNQMSMDN-UHFFFAOYSA-N,CC(=O)Oc1c(C(=O)O)c(OC(=O)C)c(c(c1Cl)C)Cl,-3.584961932,2.8506,321.11
,C7772,YOLLUMURPUEOJW-UHFFFAOYSA-N,C=CCOCC(OC(=O)C)COC(=O)C,-1.548880763,0.6838,216.231
,C8088,YORNKOJOAYSWBP-UHFFFAOYSA-N,COc1ccc2c(c1)[nH]c(=O)o2,-1.282870141,1.1297,165.146
,C8155,YOSDTJYMDAEEAZ-UHFFFAOYSA-N,CC1(CNC1)c1ccccc1,-1.22695549,1.8763,147.217
,C3244,YOYAIZYFCNQIRF-UHFFFAOYSA-N,CC(NC(CC12CC3CC(C1)CC(C2Cl)C3)C)C.Cl,-4.813147357,5.3896,306.314
,C7514,YPCALTGLHFLNGA-UHFFFAOYSA-N,Cc1ccc(s1)C(=O)C,-1.729608604,2.2591,140.203
,C390,YPGMOWHXEQDBBV-IMJSIDKUSA-N,N#Cc1c(Cl)cccc1Cl,-4.2399998,2.86508,172.011
,C868,YPGMOWHXEQDBBV-QWWZWVQMSA-N,O=C(C1=C(C)OCCC1)Nc1ccccc1,-2.5599999,2.7825,217.264
,C9725,YPGSWQHGZLTTGJ-UHFFFAOYSA-N,O[C@H]1CSSC[C@@H]1O,0.672424187,0.1032,152.235
,C9726,YPHMISFOHDHNIV-FSZOTQKASA-N,O[C@@H]1CSSC[C@H]1O,0.672424187,0.1032,152.235
,C6061,YPHMISFOHDHNIV-SPFNVWMYSA-N,CN(c1c(C)n(c2ccc(cc2)Cl)c(=O)n(c1=O)C)C,-2.677694204,1.564,293.749
,C8254,YPIFLXOVPCARGI-UHFFFAOYSA-N,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@@H](CC1CC(=O)NC(=O)C1)O,-1.127030697,1.3703,281.347
,C1347,YPIQVCUJEKAZCP-UHFFFAOYSA-N,C[C@H]1C[C@@H](C)C(=O)[C@H](C1)[C@H](CC1CC(=O)NC(=O)C1)O,-1.13,1.3703,281.347
,C6145,YPKBVWZHVTZSPU-UHFFFAOYSA-N,CCc1nc2c(o1)cccc2,-2.630020851,2.3902,147.174
,C3528,YPKXIQOEOPDWBK-UHFFFAOYSA-N,CC(OC(=O)C(=C1SC=CS1)C(=O)OC(C)C)C,-4.505909682,3.0524,288.383
,C6932,YPNGOYFSQMSAOZ-UHFFFAOYSA-N,CC(Cc1ccccc1)NC(=O)C,-2.134635516,2.1446,177.243
,C7399,YPNZTHVEMNUDND-UHFFFAOYSA-N,[O-]S(=O)(=O)O.CC[NH+](CCNC(=O)c1ccc(cc1)N)CC,-1.819678151,0.9808,333.404
,C5883,YPQLFJODEKMJEF-UHFFFAOYSA-N,OC(=O)c1ccccc1CC(=O)c1ccccc1C(=O)O,-2.790968615,2.5084,284.263
,C628,YPRWUHITXSFUFV-UHFFFAOYSA-N,CCCCCCCCOC(=O)N,-3.3,3.1425,173.253
,C4118,YPSQTTRYMSZAGR-UHFFFAOYSA-N,O=C(C(O)(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],-4.027158656,2.9192,292.211
,C5774,YPTFHLJNWSJXKG-UHFFFAOYSA-N,OC(C(Br)(Br)Br)NC(=O)C(F)(F)F,-2.867712398,2.2127,393.779
,C6934,YPVRJHARGFOWMD-UHFFFAOYSA-N,CCCn1c(=O)cc(n(c1=O)CC)N,-2.13362261,0.6033,197.234
,C5117,YPWPVPLDLYIPNI-UHFFFAOYSA-N,CCOc1cc(OCC)c(cc1C(=O)CCC(=O)O)OCC,-3.299557554,2.9302,310.342
,C9031,YPZRWBKMTBYPTK-BJDJZHNGSA-N,NCCNCCCC(=O)c1ccccc1,-0.147158736,2.289,206.284
,C4731,YQBNJPACAUPNLV-UHFFFAOYSA-N,CCNC(=O)c1cc(Br)cc(c1O)C,-3.585997782,2.6037,258.112
,C8948,YQBRPZBLROENTD-UHFFFAOYSA-N,O=C(N[C@H](C(=O)NCC(=O)O)CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)CC[C@@H](C(=O)O)N,-0.310074156,-0.9126,612.631
,C3978,YQEJFKZIXMSIBY-SXGIMHKGSA-N,COc1c(oc2c1cc1ccc(=O)oc1c2)C(C)C,-4.121599211,3.6712,258.269
,C4106,YQEZLKZALYSWHR-UHFFFAOYSA-N,CCOC(=O)N1CCCc2c1cccc2,-4.040456371,2.6607,205.253
,C3267,YQGWWPIFPHGHTG-UHFFFAOYSA-N,CCCCC[C@@H]1CN[C@@H](C1)C(=O)N[C@@H]([C@H]1O[C@H](SC)[C@@H]([C@H]([C@H]1O)O)O)[C@@H](Cl)C.Cl,-4.774572687,2.3492,475.471
,C7240,YQNFBOJPTAXAKV-OMCISZLKSA-N,CNC1(CCCCC1=O)c1ccccc1Cl,-1.929230818,3.2887,237.725
,C6016,YQNQNVDNTFHQSW-UHFFFAOYSA-N,CC1[NH2+]CCc2c3c1cccc3[nH]c2.[Cl-],-2.704298742,-0.0784,222.714
,C2014,YQTAUCCALHOTQC-UHFFFAOYSA-N,OC(=O)CCc1c(I)cc(c(c1I)/N=C/N(C)C)I,-7.128996546,3.739,597.957
,C4947,YQULREKUYCCSJA-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],-3.423076305,2.8251,307.282
,C6235,YQWCIPIEEBVRNY-BRXBUPTESA-N,O=C1C(CCN1c1ccc(cc1)F)N1CCCCC1,-2.570039947,2.4198,262.323
,C4329,YQYVFVRQLZMJKJ-UHFFFAOYSA-N,Oc1cccc(c1)Nc1ccccc1C(=O)O,-3.853370202,2.907,229.231
,C182,YRCWQPVGYLYSOX-UHFFFAOYSA-N,O[C@H]1C=C[C@H]2[C@@H]1[C@]1(Cl)C(=C([C@]2(C1(Cl)Cl)Cl)Cl)Cl,-5.46,3.995,354.872
,C3720,YREQHYQNNWYQCJ-UHFFFAOYSA-N,Oc1ccc2c(c1)C1(C)CCN(C(C2)C1C)CC1CC1,-4.321681952,3.2643,271.397
,C9828,YRGAYAGBVIXNAQ-UHFFFAOYSA-N,CNCC(c1ccc(cc1)O)O,0.776742974,1.0359,167.205
,C18,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,CCOc1ccc(cc1)C(COCc1cccc(c1)Oc1ccccc1)(C)C,-8.6000004,6.372,376.488
,C784,YRJLEOWRVNBAOI-UHFFFAOYSA-N,COc1ccc(cc1)Cl,-2.78,2.3486,142.583
,C301,YRKCREAYFQTBPV-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC,-4.6300001,3.3001,186.291
,C9704,YRKLNGSPBGWYKJ-TYMHPWAKSA-N,CC(C(c1ccc(c(c1)O)O)O)N.Cl,0.658239155,1.9807,219.665
,C1577,YRMLFORXOOIJDR-UHFFFAOYSA-N,CC(=O)CC(=O)C,0.22,0.5545,100.116
,C2724,YRPPIMNBOSCROA-UHFFFAOYSA-L,CCC(=CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2)CC.Br,-5.471410518,6.093,420.426
,C1190,YRRWOZRDSFWKLZ-UHFFFAOYSA-L,C=CCN(C(=O)C(Cl)Cl)CC=C,-1.62,1.9907,208.085
,C2160,YRSIFCHKXFKNME-LURJTMIESA-N,[O-]S(=O)(=O)[O-].CCCCN(C(=O)OCC[N+](CC)(C)C)CCCC.CCCCN(C(=O)OCC[N+](CC)(C)C)CCCC,-6.600804051,5.9858,642.932
,C8210,YRSXWPMXFWKKLH-UHFFFAOYSA-N,C[N+](Cc1ccccc1)(CCCCCCCCCC[N+](Cc1ccccc1)(C)C)C.[Br-].[Br-],-1.174190756,0.6684,570.486
,C1396,YRTPZXMEBGTPLM-UVTDQMKNSA-N,CC[C@@H](C(O)(C)C)C,-0.88999999,1.8034,116.201
,C3486,YRUPBAWWCPVHFT-UHFFFAOYSA-N,CCC(=O)c1ccc(c2c1cccc2)OCC(CN1CCN(CC1)c1ccccc1)O.Cl.Cl,-4.54846719,5.6013,491.45
,C5288,YRZBWKXTJMKJIO-UHFFFAOYSA-N,O=C1O/C(=C\c2ccccc2)/c2c1cccc2,-3.173641822,3.3551,222.239
,C7046,YRZQHIVOIFJEEE-UHFFFAOYSA-N,Oc1ccc(cc1)Nc1ccc(cc1)O,-2.060643909,2.9144,201.221
,C7563,YSAUAVHXTIETRK-AATRIKPKSA-N,FCCCCSC(=O)C,-1.696694794,2.0158,150.214
,C5585,YSEKTJDZLUWDBU-UHFFFAOYSA-N,Clc1ccc(cc1)Nc1ncnc(n1)N,-2.985449184,2.505,221.646
,C3659,YSEMEGXOKULCML-UHFFFAOYSA-N,CN1CCCN=C1/C=C/c1cccs1,-4.381381161,1.8688,206.307
,C5474,YSKCXFJVTRCGGD-UHFFFAOYSA-N,Clc1ccc(cc1)C1[NH2+]CC[NH2+]Cc2c1cccc2.[Cl-].[Cl-],-3.054389477,-1.7838,345.694
,C430,YSMRWXYRXBRSND-UHFFFAOYSA-N,CCn1c2ncccc2c(=O)n(c2c1nc(Cl)cc2)C,-4.1100001,2.5187,288.732
,C4115,YSSSPARMOAYJTE-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCNCCSS(=O)(=O)O,-4.031262266,4.753,478.22
,C2170,YSUCWSWKRIOILX-UHFFFAOYSA-N,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,-6.557682892,6.2567,368.363
,C3333,YSVIRKSYBGDUSI-UHFFFAOYSA-N,O1CCOc2ccccc2OCCOCCOc2c(OCC1)cccc2,-4.693469164,2.9488,360.401
,C9085,YSXKPIUOCJLQIE-UHFFFAOYSA-N,N/C(=N\CCc1ccccc1)/N=C(N)N.Cl,-0.061098699,2.7201,241.721
,C7980,YSYILHQNTLENLJ-UHFFFAOYSA-N,CCC(N(C)C)(CC)C.Br,-1.383028741,3.0848,210.155
,C4024,YSZGCNKBKQQPAH-UHFFFAOYSA-N,OC(C1CC2CC1C=C2)(c1ccccc1)CCN1CCCCC1,-4.093049541,3.9003,311.461
,C9630,YTBDPHYVGACIPC-UHFFFAOYSA-N,Oc1ccc(c(c1)[N+](C)(C)C)O.[Br-],0.605338228,-1.7015,248.117
,C7448,YTBRNEUEFCNVHC-UHFFFAOYSA-N,CC(=O)Nc1ccccc1C(=O)C,-1.7749841,1.9206,177.2
,C4259,YTCSKUDULFDUDD-UHFFFAOYSA-N,O=c1[nH]c(NCCSCc2nc[nH]c2C)ncc1Cc1ccc2c(c1)OCO2,-3.914043297,2.5392,399.467
,C107,YTGJWQPHMWSCST-UHFFFAOYSA-N,Clc1ccc(cc1)c1ccc(cc1)Cl,-6.5599999,4.6604,223.098
,C2601,YTHVGJSPULXGNY-UHFFFAOYSA-N,NCCCN1c2ccc(cc2Sc2c1cc(Cl)cc2)O,-5.659497421,4.7624,306.81
,C9215,YTIJUXVIZLYQTB-UHFFFAOYSA-N,CC(C(=O)NCC(=O)O)S,0.162235377,-0.1036,163.195
,C9918,YTIZHZPRFYKRIG-RUZUBIRVSA-N,NCCCF,0.999988751,1.005,77.1007
,C6778,YTLQFZVCLXFFRK-UHFFFAOYSA-N,[O-]S(=O)(=O)[O-].C/N=C(/NCc1ccccc1)\[NH2+]C.C/N=C(/NCc1ccccc1)\[NH2+]C,-2.230807973,0.435,452.571
,C6329,YTPLMLYBLZKORZ-UHFFFAOYSA-N,CC(=O)O[C@H]1[C@H](OC(=O)C)[C@H](O[C@H]1n1ccc(nc1=O)N)COC(=O)C,-2.519361401,-0.2694,369.327
,C3252,YTRMTPPVNRALON-UHFFFAOYSA-N,c1ccc(cc1)Cc1nc2c([nH]1)cccc2,-4.801418328,3.1537,208.258
,C1256,YTRNSQPXEDGWMR-UHFFFAOYSA-N,c1cccs1,-1.45,1.7481,84.1396
,C5265,YTSPICCNZMNDQT-UHFFFAOYSA-M,OC(=O)c1cc(nc2c1cccc2)c1ccccc1,-3.192548289,3.6,249.264
,C6187,YTUMWOBUZOYYJQ-UHFFFAOYSA-N,OC(=O)C(c1ccccc1)(C1CCCCC1)O,-2.601124919,2.5391,234.291
,C2027,YTWIPINUWDJHFC-UHFFFAOYSA-N,CC[N+](CCSC1=Nc2ccccc2N=C(C1)c1ccc(cc1)Sc1ccccc1)(CC)C.[I-],-7.076539254,3.4871,601.608
,C3549,YTZKOQUCBOVLHL-UHFFFAOYSA-N,CC(c1ccc(cc1)C1CCCCC1)C(=O)O,-4.482430772,3.9224,232.318
,C4873,YUFRAQHYKKPYLH-UHFFFAOYSA-N,NC1=NCC(O1)CN1CCN(CC1)c1cccc(c1)C(F)(F)F,-3.481694001,1.6797,328.333
,C531,YUJCWMGBRDBPDL-UHFFFAOYSA-N,CC(c1ccccc1)(C)C,-3.6600001,2.9841,134.218
,C818,YUKILTJWFRTXGB-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2nccn1,-2.6800001,2.783,180.205
,C8972,YURJSTAIMNSZAE-HHNZYBFYSA-N,O=C1NC(=O)CC(C1)(C)C,-0.257091381,0.778,141.168
,C783,YUTFQTAITWWGFH-UHFFFAOYSA-N,COc1cccc(c1)Cl,-2.78,2.3486,142.583
,C2330,YUWFEBAXEOLKSG-UHFFFAOYSA-N,OC[C@H]1O[C@@H](O[C@H]2C[C@]3(C)[C@@H]([C@@]4([C@@H]2C(C)(C)[C@@H](O)CC4)C)C[C@H]([C@H]2[C@@]3(C)CC[C@@H]2[C@@](O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)(CCC=C(C)C)C)O)[C@@H]([C@H]([C@@H]1O)O)O,-6.144733631,1.1198,801.013
,C6859,YUZAZXWFLXMQIX-UHFFFAOYSA-N,CC(=O)c1cc2c(o1)cccc2,-2.171967838,2.6354,160.169
,C209,YVBCSKYYMNEPHE-PKLMIRHRSA-N,Cc1c(C)c(C)c(c(c1C)C)C,-5.23,3.537,162.271
,C6260,YVBCULSIZWMTFY-UHFFFAOYSA-N,CCCCCCSCCN1CSCC1.Cl,-2.559613874,4.0461,269.898
,C3371,YVBGGZGCBWNVDX-UHFFFAOYSA-N,CCCC[NH+]1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O.[Cl-],-4.660387331,1.1763,345.863
,C1273,YVBOFDGPWVOQBW-UHFFFAOYSA-N,CCCC(CCC)O,-1.4,1.9475,116.201
,C2583,YVGGHNCTFXOJCH-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2c1cccc2)C,-5.685727665,4.6441,277.403
,C2802,YVHMVAPVYRFIOA-UHFFFAOYSA-N,O=C(c1ccccc1)NC(c1ccccc1)CCN1CCCCC1.Cl,-5.345470544,5.1645,358.905
,C77,YVIAOUXBSTVVRH-UHFFFAOYSA-N,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,-7.1500001,6.4955,354.486
,C7330,YVQVOQKFMFRVGR-VGOFMYFVSA-N,C=CCOc1ccc(cc1)CC(=O)NO,-1.864664096,1.6902,207.226
,C4711,YVSCOIUNVKGTND-UHFFFAOYSA-N,CCCCCSCCCCCN1CSCC1.Cl,-3.596187692,4.8263,297.951
,C6139,YVUQSNJEYSNKRX-UHFFFAOYSA-N,O=C1OC(CN1/N=C/c1ccc(o1)[N+](=O)[O-])CN1CCOCC1,-2.635876311,1.0737,324.289
,C9056,YVWGMAFXEJHFRO-UHFFFAOYSA-N,C1COC2(C1)CCCO2,-0.107789807,1.3035,128.169
,C3368,YVXHZKKCZYLQOP-UHFFFAOYSA-N,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,-4.664225351,5.7949,461.546
,C5249,YWAGQZNXGUHOSX-UHFFFAOYSA-N,BrCC(C(F)F)(F)F,-3.207508077,2.2817,194.954
,C720,YWAKXRMUMFPDSH-UHFFFAOYSA-N,CCCCCC#C,-3.01,2.1999,96.1702
,C6339,YWBVHLJPRPCRSD-UHFFFAOYSA-N,CC(C(c1ccccc1)(c1ccccc1)O)CN(C)C.Cl,-2.513299981,3.9222,305.842
,C815,YWCASUPWYFFUHE-UHFFFAOYSA-N,CCCC=C,-2.6800001,1.9725,70.1329
,C347,YWDUZLFWHVQCHY-UHFFFAOYSA-N,Cn1cc(c2cccc(c2)C(F)(F)F)c(=O)c(c1)c1ccccc1,-4.4400001,4.7381,329.316
,C9543,YWEZXUNAYVCODW-RBUKOAKNSA-N,CS(=O)(=O)OCCCNCCCOS(=O)(=O)C.Cl,0.487023594,2.6631,325.831
,C171,YWKRLOSRDGPEJR-KIUKIJHYSA-N,Brc1cc(Br)cc(c1)Br,-5.5999999,3.9741,314.8
,C1912,YWLXEQKAKDKVBQ-UHFFFAOYSA-M,CCCCCc1cc(O)cc(c1[C@@H]1C=C(C)CC[C@H]1C(=C)C)O,-7.756426227,5.8465,314.462
,C2370,YWPDGABYTMCJDP-UHFFFAOYSA-N,CN(CC/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C.Cl,-6.077111571,5.99,352.321
,C9319,YWPJUNSZBYZRBF-UHFFFAOYSA-N,[O-]C(=O)C1CSCN1.[Na+],0.287823113,-1.2724,155.151
,C3380,YWQGBCXVCXMSLJ-UHFFFAOYSA-N,Oc1cc(O)c2c(c1)OC(c1c2cccc1)(C)C,-4.651109545,3.3923,242.27
,C9558,YWQMRMQXEJSKHI-UHFFFAOYSA-L,Oc1cccc(c1)[N+](C(C)C)(C)C.[I-],0.512614147,-0.6285,307.171
,C2059,YWQOTUHPZDSZMT-UHFFFAOYSA-N,CCOC(=O)C(Oc1ccc(cc1)Cc1ccc(cc1)Cl)(CC)C,-6.968201328,5.0414,346.848
,C9394,YWSIDZBIXJZMTH-UHFFFAOYSA-N,CC[N+](CCCOCCC[N+](CC)(CC)CC)(CC)CC.[Br-].[Br-],0.335024432,-2.4558,462.347
,C6392,YWWBVUKXYSHFSO-UHFFFAOYSA-N,CON(C(=O)OCC(CO)(CC)CC)C,-2.483668526,1.4149,219.278
,C5412,YWWZVTFZBXVKRM-UHFFFAOYSA-N,CCCCN1C(=O)c2ccccc2CS1(=O)=O,-3.096166567,2.791,253.317
,C8143,YWXYYJSYQOXTPL-SLPGGIOYSA-N,CC(=O)C(C(C(F)(F)F)(C(F)(F)F)O)C(=O)C,-1.234776839,1.6363,266.138
,C2500,YWYPAAYCGZXQOQ-UHFFFAOYSA-M,Nc1c2cccc(c2nc2c1cccc2)c1ccccc1,-5.839725504,5.2184,270.328
,C8978,YWYQTGBBEZQBGO-BERLURQNSA-N,[O-][N+](=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,-0.253999724,-0.755,191.139
,C7752,YWYQTGBBEZQBGO-OQOYYRQQSA-N,CCC(=O)C(C(C[N+](C)(C)C)C)(c1ccccc1)c1ccccc1.[Cl-],-1.565444995,1.2981,359.933
,C2048,YWZJREHAYVHVRF-UHFFFAOYSA-N,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](O)C)C)C,-7.020271592,4.387,320.509
